ID,CreationDate,Score,ViewCount,AnswerCount,FavoriteCount
"54492","2019-06-25 20:43:10","0","34","<machine-learning><python><scikit-learn><data-science-model>",""
"54495","2019-06-25 21:02:50","0","23","<machine-learning><anomaly-detection>",""
"54496","2019-06-25 21:27:05","0","11","<predictive-modeling><prediction><distribution><historgram>",""
"54498","2019-06-25 21:39:09","0","994","<deep-learning><keras><deep-network>",""
"54499","2019-06-25 21:59:57","0","16","<machine-learning><python><scikit-learn><visualization><pca>",""
"54500","2019-06-25 22:29:33","0","16","<r><aggregation>",""
"54507","2019-06-26 02:06:19","2","1422","<machine-learning><deep-learning><dataset><image-classification><computer-vision>",""
"54508","2019-06-26 02:22:34","1","17","<svm>",""
"54510","2019-06-26 05:06:18","1","41","<seaborn>",""
"54511","2019-06-26 05:36:51","0","621","<deep-learning><keras>",""
"54513","2019-06-26 06:05:38","2","75","<deep-learning><bayesian><monte-carlo>",""
"54515","2019-06-26 06:30:32","0","61","<machine-learning><python><classification><model-selection><classifier>",""
"54516","2019-06-26 06:56:04","0","46","<python><pandas><dataframe><bioinformatics>",""
"54517","2019-06-26 07:08:48","0","35","<classification><nlp><word2vec><word-embeddings><text>","1"
"54521","2019-06-26 07:31:48","0","12","<deep-learning><autoencoder><generative-models>",""
"54522","2019-06-26 08:01:34","0","84","<machine-learning><classification><tensorflow>",""
"54524","2019-06-26 08:33:58","0","6","<machine-learning><deep-learning>",""
"54526","2019-06-26 08:45:30","0","19","<machine-learning><neural-network><generative-models><vae><image-size>",""
"54529","2019-06-26 09:27:10","1","33","<python><pandas><ipython>",""
"54532","2019-06-26 10:50:38","0","95","<machine-learning><data-mining><dataset><data><data-cleaning>",""
"54534","2019-06-26 10:54:56","0","23","<image>",""
"54535","2019-06-26 11:43:34","0","36","<machine-learning><project-planning>",""
"54536","2019-06-26 11:47:44","1","83","<deep-learning><convolution><backpropagation>",""
"54540","2019-06-26 12:36:05","1","36","<neural-network><deep-learning>","1"
"54541","2019-06-26 12:52:47","0","25","<keras>",""
"54542","2019-06-26 13:06:27","1","165","<python><dropout>",""
"54544","2019-06-26 13:27:39","0","21","<neural-network><training>",""
"54546","2019-06-26 14:09:13","2","29","<machine-learning><python><neural-network><deep-learning><transfer-learning>",""
"54548","2019-06-26 14:32:49","3","1147","<neural-network><deep-learning><faster-rcnn><vgg16>","1"
"54549","2019-06-26 15:46:45","2","1310","<python><tensorflow><lstm><rnn>","1"
"54550","2019-06-26 15:48:44","4","242","<gridsearchcv><colab>",""
"54551","2019-06-26 16:15:36","0","26","<machine-learning><deep-learning><predictive-modeling><lstm><recurrent-neural-net>",""
"45813","2019-02-19 13:20:00","1","133","<machine-learning><outlier><boosting>",""
"45815","2019-02-19 13:38:12","0","33","<machine-learning><cnn><matrix>",""
"45821","2019-02-19 15:26:12","2","120","<data-mining><pandas><svm><numpy>",""
"45822","2019-02-19 15:28:47","0","392","<lstm><supervised-learning>",""
"45827","2019-02-19 16:28:15","2","1271","<finance>","1"
"45831","2019-02-19 17:43:28","1","158","<python><scikit-learn><logistic-regression>",""
"45833","2019-02-19 19:34:19","3","3083","<python><keras><cnn><image-classification>","3"
"45834","2019-02-19 20:01:13","1","65","<machine-learning><time-series><statistics><lstm><forecasting>","2"
"45836","2019-02-19 21:06:12","1","56","<machine-learning><deep-learning><text-mining><ocr>","1"
"45837","2019-02-19 16:33:09","1","564","<deep-learning><lstm><xgboost>",""
"45839","2019-02-19 22:09:02","1","81","<python><data-mining><k-means>",""
"45846","2019-02-20 03:19:07","1","46","<machine-learning><data><accuracy>",""
"45849","2019-02-20 04:31:49","1","79","<machine-learning><dataset><training>",""
"45850","2019-02-20 04:47:51","1","102","<dataset>",""
"45854","2019-02-20 06:19:42","6","2196","<python><text-mining>","2"
"45856","2019-02-20 06:30:01","3","560","<machine-learning><python><nlp><nltk><regex>","2"
"45858","2019-02-20 07:50:29","0","79","<machine-learning><tensorflow><opencv>",""
"45860","2019-02-20 08:31:47","3","1151","<machine-learning><classification><cross-validation><pca><smote>",""
"45862","2019-02-20 08:56:10","0","80","<machine-learning><machine-learning-model><convolution><image-size><image>",""
"45863","2019-02-20 09:33:29","1","37","<deep-learning><cnn><rnn><ocr>",""
"45864","2019-02-20 10:07:10","1","673","<keras><loss-function>",""
"45865","2019-02-20 10:39:04","1","66","<predictive-modeling><regression><statistics>",""
"45867","2019-02-20 10:44:55","2","1096","<python><keras><time-series><lstm><recurrent-neural-net>",""
"45872","2019-02-20 11:37:58","5","184","<machine-learning><text-mining><feature-extraction><word-embeddings>",""
"45873","2019-02-20 12:12:54","0","65","<python><scikit-learn><predictive-modeling><prediction><machine-learning-model>",""
"45874","2019-02-20 12:18:28","0","54","<python><deep-learning><keras><tensorflow><nlp>",""
"45875","2019-02-20 12:29:20","2","282","<keras>",""
"45879","2019-02-20 13:08:36","2","520","<seaborn>","1"
"45881","2019-02-20 13:57:35","2","1005","<cross-validation><encoding>","1"
"45882","2019-02-20 14:15:55","2","1581","<time-series><lstm><scalability>",""
"45883","2019-02-20 14:21:43","1","73","<training><named-entity-recognition><labels>",""
"45885","2019-02-20 14:34:56","1","100","<machine-learning><multiclass-classification><nltk>",""
"45888","2019-02-20 14:48:45","1","17","<image-preprocessing>",""
"45889","2019-02-20 14:54:14","1","330","<deep-learning><tensorflow><cnn><object-detection>","2"
"45893","2019-02-20 15:31:25","3","1602","<keras><tensorflow>","2"
"45897","2019-02-20 15:50:30","1","136","<python><neural-network><keras><tensorflow><regression>",""
"45900","2019-02-20 16:38:05","12","8064","<python><scikit-learn><data-cleaning><normalization>","6"
"45902","2019-02-20 17:06:28","2","310","<r><time-series><forecast><data-analysis>",""
"45903","2019-02-20 17:14:14","2","53","<r><data-cleaning><outlier>",""
"45904","2019-02-20 17:49:30","4","279","<cnn><convnet><performance><gpu>","1"
"45906","2019-02-20 18:01:18","1","38","<neural-network><normalization>",""
"45907","2019-02-20 18:08:59","4","83","<neural-network><deep-learning><keras><data-cleaning>","1"
"45914","2019-02-20 20:20:35","5","913","<classification><scikit-learn><clustering><unsupervised-learning><gaussian>",""
"45915","2019-02-20 21:09:20","2","101","<svm><cross-validation><training><unsupervised-learning><matlab>",""
"45916","2019-02-20 21:13:45","2","8816","<python><dataset><preprocessing><pytorch>",""
"45919","2019-02-20 22:29:12","3","54","<machine-learning><deep-learning><convolution>",""
"45922","2019-02-20 23:02:27","2","67","<machine-learning><classification><data-mining><pca><dimensionality-reduction>",""
"45923","2019-02-21 00:16:14","3","72","<churn>",""
"45924","2019-02-21 00:28:36","3","112","<machine-learning><statistics>",""
"45930","2019-02-21 01:33:15","2","31","<python><data-mining><predictive-modeling><feature-extraction>",""
"45933","2019-02-21 02:41:10","3","185","<neural-network><keras><tensorflow>",""
"49513","2019-04-18 05:30:35","1","19","<recommender-system><word-embeddings><ranking>","1"
"49517","2019-04-18 07:03:30","1","23","<deep-learning><keras><nlp>",""
"49518","2019-04-18 07:04:45","1","33","<neural-network>",""
"49522","2019-04-18 08:06:24","20","7912","<activation-function><bert><mathematics>","8"
"49526","2019-04-18 09:23:33","1","179","<python><classification><statistics><multiclass-classification><evaluation>",""
"49529","2019-04-18 11:05:47","0","5336","<python><pandas><indexing>",""
"57905","2019-08-20 20:05:07","4","1133","<classification><decision-trees><xgboost><boosting>","2"
"57906","2019-08-20 20:07:18","1","132","<keras><time-series><lstm><rnn>",""
"57909","2019-08-20 21:48:32","0","29","<python><tensorflow><reinforcement-learning>",""
"57910","2019-08-20 22:02:42","2","42","<data-mining><sentiment-analysis><social-network-analysis>",""
"57911","2019-08-20 22:05:02","0","420","<time-series><clustering>","1"
"57912","2019-08-20 22:19:30","1","43","<time-series><statistics><similarity><correlation><simulation>",""
"57916","2019-08-21 03:35:07","3","58","<statistics>",""
"57917","2019-08-21 03:54:53","1","49","<multiclass-classification><unbalanced-classes>","1"
"57918","2019-08-21 04:27:17","0","19","<data-mining><bigdata><sampling><data-analysis><aggregation>",""
"57919","2019-08-21 04:33:48","0","15","<neural-network>",""
"57920","2019-08-21 05:42:16","0","23","<machine-learning><svm>",""
"57921","2019-08-21 06:27:03","0","17","<machine-learning><svm>",""
"57922","2019-08-21 06:30:25","1","56","<python><scikit-learn><hyperparameter-tuning><grid-search><gridsearchcv>",""
"57923","2019-08-21 06:37:11","0","14","<deep-learning><predictive-modeling><image-classification>",""
"57924","2019-08-21 06:45:04","2","255","<predictive-modeling><pandas><class-imbalance><pipelines><imbalanced-learn>",""
"57927","2019-08-21 06:56:51","0","31","<machine-learning><decision-trees>",""
"57928","2019-08-21 07:21:07","0","25","<machine-learning><deep-learning><word2vec><word-embeddings><natural-language-process>",""
"57929","2019-08-21 07:23:03","0","28","<machine-learning><decision-trees>",""
"57931","2019-08-21 07:37:11","1","51","<machine-learning><python><pytorch><object-detection><faster-rcnn>","0"
"57934","2019-08-21 08:09:57","1","105","<python>",""
"57940","2019-08-21 08:53:48","0","22","<neural-network><deep-learning><lstm><recurrent-neural-net>",""
"57941","2019-08-21 09:19:58","0","22","<r>",""
"57945","2019-08-21 09:49:14","0","129","<scikit-learn><grid-search><gridsearchcv>",""
"57947","2019-08-21 10:15:52","0","107","<machine-learning><deep-learning><nlp><cnn><rnn>","2"
"57948","2019-08-21 10:40:45","0","50","<python><markov-process><markov-hidden-model><expectation-maximization>",""
"57949","2019-08-21 10:51:21","0","10","<neural-network><deep-learning><keras><audio-recognition>",""
"57952","2019-08-21 11:28:02","2","195","<deep-learning><convnet><visualization><pytorch>",""
"57953","2019-08-21 11:30:23","0","149","<machine-learning><python><classification><normalization>",""
"57961","2019-08-21 13:28:43","1","16","<keras><nlp><image-recognition><object-detection><text>",""
"57963","2019-08-21 14:05:46","0","1162","<python><computer-vision><pytorch><image>",""
"57966","2019-08-21 14:43:52","0","4","<object-detection>",""
"57971","2019-08-21 15:29:05","0","35","<machine-learning>",""
"57974","2019-08-21 16:15:24","1","371","<machine-learning><algorithms><optimization>",""
"57976","2019-08-21 16:51:40","3","38","<python><regression>",""
"57977","2019-08-21 17:40:22","3","100","<python><topic-model><lda><gensim>","1"
"57978","2019-08-21 17:59:44","0","34","<orange><orange3>",""
"57979","2019-08-21 18:21:07","0","101","<machine-learning><coursera>",""
"57982","2019-08-21 19:07:33","1","16","<deep-learning>",""
"57984","2019-08-21 20:42:17","0","80","<neural-network><tensorflow><multilabel-classification>",""
"57987","2019-08-22 02:38:27","1","65","<neural-network><batch-normalization>",""
"57988","2019-08-22 03:09:14","0","33","<deep-learning><nlp><chatbot>",""
"57990","2019-08-22 06:07:05","0","47","<machine-learning><svm>",""
"57991","2019-08-22 06:10:48","0","25","<feature-selection><feature-extraction><pca><dimensionality-reduction>","1"
"57994","2019-08-22 06:57:33","0","41","<neural-network><deep-learning><anomaly-detection>",""
"57996","2019-08-22 07:44:12","0","39","<neural-network><keras>",""
"58000","2019-08-22 08:29:09","2","545","<scikit-learn><svm><supervised-learning><model-selection>","1"
"58002","2019-08-22 09:03:15","3","75","<xgboost>",""
"58003","2019-08-22 09:03:18","1","42","<tensorflow><word2vec><word-embeddings>",""
"58006","2019-08-22 09:41:00","1","158","<statistics><distribution><scipy>","3"
"58008","2019-08-22 10:00:40","0","117","<scikit-learn><pandas><evaluation><class-imbalance><metric>",""
"58009","2019-08-22 10:02:08","0","278","<arima>",""
"58014","2019-08-22 11:44:39","0","21","<time-series>",""
"58020","2019-08-22 14:16:17","3","86","<machine-learning>","1"
"58021","2019-08-22 14:18:53","1","34","<naive-bayes-classifier><metric><smote><imbalanced-learn>",""
"62651","2019-11-04 13:17:35","1","39","<machine-learning><python><neural-network><keras><mathematics>",""
"62653","2019-11-04 13:58:34","0","170","<python><keras><tensorflow><machine-learning-model><colab>",""
"62655","2019-11-04 14:12:09","0","41","<machine-learning>",""
"54666","2019-06-28 08:37:43","0","15","<machine-learning><deep-learning><gan>",""
"54670","2019-06-28 09:10:13","1","206","<neural-network><deep-learning><keras>",""
"54671","2019-06-28 09:14:42","0","46","<deep-learning><nlp><preprocessing><text>","1"
"54673","2019-06-28 09:32:45","0","19","<deep-learning><3d-reconstruction>",""
"54675","2019-06-28 09:39:51","2","120","<scikit-learn><decision-trees><outlier>",""
"54676","2019-06-28 09:40:46","0","71","<jupyter>",""
"54678","2019-06-28 09:50:45","0","1054","<deep-learning><keras><tensorflow><loss-function>",""
"54680","2019-06-28 10:04:05","0","38","<machine-learning><neural-network><deep-learning><deep-network>",""
"54681","2019-06-28 10:34:41","3","176","<python><gan><object-detection><generative-models>","1"
"54682","2019-06-28 11:19:06","1","80","<neural-network>",""
"54683","2019-06-28 12:00:19","0","252","<deep-learning><tensorflow><loss-function>",""
"54684","2019-06-28 12:28:58","4","170","<machine-learning><scikit-learn><regression><decision-trees>","2"
"54685","2019-06-28 12:41:15","0","17","<machine-learning><python><neural-network><word2vec>","1"
"54686","2019-06-28 13:16:12","0","2656","<python><time-series>",""
"54687","2019-06-28 13:22:46","0","13","<python><svm><prediction><probability><sequence>",""
"54688","2019-06-28 13:23:38","0","15","<deep-learning><gan><theano><caffe>",""
"54689","2019-06-28 13:28:42","0","24","<machine-learning><python><scikit-learn><data-science-model>",""
"54690","2019-06-28 13:39:01","1","67","<unbalanced-classes><smote><imbalanced-learn><smotenc>","1"
"54692","2019-06-28 14:00:01","0","40","<machine-learning><python><scikit-learn><gensim>",""
"54694","2019-06-28 14:06:40","0","33","<keras><dataset>","0"
"54698","2019-06-28 14:53:22","1","22","<scikit-learn>",""
"54699","2019-06-28 15:20:10","0","19","<machine-learning><data><visualization><sql><powerbi>",""
"54701","2019-06-28 15:41:59","1","22","<math><mathematics>","1"
"54702","2019-06-28 15:44:13","1","33","<machine-learning><python><classification><regression><machine-learning-model>",""
"54705","2019-06-28 16:11:56","0","13","<text-mining><matlab><missing-data>","1"
"54707","2019-06-28 16:51:31","2","94","<machine-learning><nlp>",""
"54708","2019-06-28 17:01:25","1","58","<reinforcement-learning>",""
"54711","2019-06-28 18:13:11","1","18","<python><nlp>",""
"54719","2019-06-28 20:33:51","0","50","<aws><sagemaker>",""
"46049","2019-02-22 17:17:48","1","1056","<deep-learning><dataset><image-classification><convolution><accuracy>",""
"46050","2019-02-22 17:32:52","5","7363","<r><time-series><forecast><data-analysis>","4"
"46051","2019-02-22 17:39:06","4","1133","<keras><tensorflow>",""
"46052","2019-02-22 17:53:38","2","145","<scikit-learn><logistic-regression><accuracy><classifier>",""
"46053","2019-02-22 18:05:34","1","90","<cnn><image-classification><preprocessing><image-recognition>",""
"46054","2019-02-22 18:16:54","1","78","<machine-learning><r><linear-regression><categorical-data>",""
"46056","2019-02-22 18:43:25","2","575","<machine-learning><reinforcement-learning>",""
"46058","2019-02-22 19:18:51","1","38","<machine-learning><data-mining><rnn>",""
"46059","2019-02-22 19:45:53","2","103","<python><scikit-learn><regression><linear-regression>",""
"46066","2019-02-22 20:32:16","1","52","<classification><regression><pytorch><outlier>",""
"46070","2019-02-22 21:56:02","2","50","<neural-network><keras><scikit-learn><tensorflow><model-selection>",""
"46071","2019-02-22 22:05:04","1","14","<deep-learning><image-classification>",""
"46072","2019-02-22 23:00:12","1","44","<regression><counts>",""
"46076","2019-02-23 05:43:06","2","238","<machine-learning><classification><cross-validation><confusion-matrix><smote>",""
"46077","2019-02-23 05:50:59","2","74","<python><pandas>",""
"46078","2019-02-23 05:59:32","1","82","<machine-learning>",""
"46079","2019-02-23 06:30:46","1","16","<python><numpy><numerical>",""
"46087","2019-02-23 09:00:25","1","21","<machine-learning><dataset>",""
"46090","2019-02-23 09:16:20","2","84","<python><tensorflow><loss-function><policy-gradients>",""
"46092","2019-02-23 10:31:08","2","1606","<machine-learning><python><scikit-learn><clustering><dbscan>",""
"46093","2019-02-23 13:23:21","1","204","<neural-network><keras><regression><predictive-modeling>",""
"46097","2019-02-23 14:54:42","1","39","<lstm><mini-batch-gradient-descent><reshape>",""
"46098","2019-02-23 14:56:32","2","97","<machine-learning><deep-learning><nlp><cnn><convolution>",""
"46102","2019-02-23 17:42:24","3","742","<jupyter><anaconda>",""
"46103","2019-02-23 17:57:41","0","74","<visualization><data><pca><dimensionality-reduction>",""
"49620","2019-04-20 01:06:51","3","391","<machine-learning><scikit-learn><distance><k-nn>",""
"49621","2019-04-20 01:57:53","2","51","<machine-learning><nlp><loss-function>",""
"49622","2019-04-20 03:00:59","0","14","<python><java>",""
"62346","2019-10-29 05:38:46","0","63","<machine-learning><classification><scikit-learn><feature-selection><accuracy>",""
"62347","2019-10-29 06:47:37","0","47","<machine-learning><classification><logistic-regression><data-science-model>",""
"62348","2019-10-29 07:55:11","0","914","<machine-learning><python><dataset><csv><json>","1"
"62353","2019-10-29 10:22:46","0","36","<machine-learning><nlp><lstm><machine-learning-model>",""
"62355","2019-10-29 11:08:06","0","138","<cnn>",""
"62361","2019-10-29 12:51:28","0","12","<machine-learning>",""
"62362","2019-10-29 13:09:30","0","3","<machine-learning><tensorflow>",""
"62365","2019-10-29 15:01:18","1","36","<machine-learning><classification>","2"
"62369","2019-10-29 16:11:28","4","504","<classification><time-series><regression><random-forest><forecasting>","1"
"62371","2019-10-29 17:26:18","1","24","<convolution><graphs><attention-mechanism>",""
"62373","2019-10-29 17:40:53","0","11","<deep-learning><lstm><word2vec><word-embeddings><embeddings>",""
"62374","2019-10-29 17:45:58","0","17","<keras><tensorflow>",""
"62376","2019-10-29 18:33:53","0","17","<machine-learning><python><data-analysis>",""
"62378","2019-10-29 18:39:08","0","8","<preprocessing><binary><aggregation>",""
"62384","2019-10-29 23:35:59","0","21","<python><dummy-variables>",""
"62386","2019-10-30 00:50:50","0","18","<python><deep-learning><dataset><anonymization><privacy>",""
"62388","2019-10-30 02:43:20","2","68","<correlation>",""
"62391","2019-10-30 03:45:27","1","80","<pca>","2"
"62392","2019-10-30 03:59:39","1","13","<deep-learning><generative-models><image-preprocessing><image>",""
"62393","2019-10-30 04:50:07","0","19","<scikit-learn><anaconda>",""
"62394","2019-10-30 05:20:16","1","45","<hyperparameter>",""
"62397","2019-10-30 06:05:51","0","8","<python><gensim>",""
"62400","2019-10-30 09:38:53","0","113","<python><logistic-regression>",""
"62401","2019-10-30 09:56:03","0","29","<regression><clustering><data-analysis>",""
"62402","2019-10-30 09:58:45","2","31","<time-series><correlation>",""
"62403","2019-10-30 10:05:45","1","144","<keras><cnn>",""
"62404","2019-10-30 10:21:59","0","21","<python><deep-learning><cnn><convnet><pytorch>",""
"62405","2019-10-30 10:28:22","0","17","<cross-validation><evaluation><hyperparameter>",""
"62409","2019-10-30 10:52:42","8","1687","<deep-learning><feature-extraction>","2"
"62411","2019-10-30 11:26:54","2","23","<r><data><visualization>",""
"62413","2019-10-30 11:35:43","0","78","<python><scikit-learn>",""
"62414","2019-10-30 11:41:00","1","214","<reinforcement-learning><dqn><actor-critic><monte-carlo><keras-rl>",""
"62415","2019-10-30 11:47:28","1","69","<machine-learning><python><keras><image-classification><vgg16>","2"
"62421","2019-10-30 12:48:24","0","17","<python><dataset><pytorch>",""
"62426","2019-10-30 15:17:06","1","23","<neural-network><classification><graphs><siamese-networks>",""
"62427","2019-10-30 15:55:44","2","191","<pandas><correlation>",""
"62428","2019-10-30 16:13:40","0","13","<information-retrieval>",""
"62430","2019-10-30 16:50:44","2","438","<python><pandas><data>",""
"62431","2019-10-30 17:38:47","0","19","<clustering><unsupervised-learning><dbscan>",""
"62432","2019-10-30 17:49:19","1","29","<feature-selection><feature-engineering><feature-extraction><supervised-learning><feature-construction>","1"
"62433","2019-10-30 19:04:23","0","35","<convnet><pytorch><gan><generative-models><gaussian>",""
"62434","2019-10-30 19:40:58","0","7","<machine-learning><python><reinforcement-learning>",""
"62436","2019-10-30 20:18:41","2","35","<neural-network><generative-models>",""
"62443","2019-10-31 04:12:26","0","14","<training><yolo>",""
"62445","2019-10-31 06:07:40","0","86","<scikit-learn><regression><linear-regression>",""
"62448","2019-10-31 07:43:53","1","361","<machine-learning><python><deep-learning><dataset><privacy>",""
"62449","2019-10-31 07:51:17","1","79","<neural-network><lstm><rnn><recurrent-neural-net>","1"
"62450","2019-10-31 08:01:25","0","19","<machine-learning><python><deep-learning><rnn><math>",""
"62451","2019-10-31 08:03:52","2","49","<machine-learning><missing-data><data-imputation>",""
"62452","2019-10-31 08:07:49","0","102","<pandas><dataframe>",""
"62454","2019-10-31 08:23:31","0","15","<deep-learning><keras><tensorflow><cnn><computer-vision>",""
"62455","2019-10-31 08:24:15","0","18","<neural-network><deep-learning><bert><deep-network><transformer>",""
"54783","2019-06-30 12:56:08","0","55","<k-means><outlier>",""
"54786","2019-06-30 13:45:06","0","17","<python><neural-network><keras><cnn><generative-models>",""
"54789","2019-06-30 14:36:58","2","52","<machine-learning><predictive-modeling><algorithms>",""
"54790","2019-06-30 15:25:43","0","77","<statistics><algorithms>",""
"54793","2019-06-30 16:24:24","1","132","<python>",""
"54794","2019-06-30 18:03:52","1","105","<vc-theory>",""
"54796","2019-06-30 18:54:34","1","1901","<machine-learning><python><scikit-learn><vector-space-models>","1"
"54552","2019-06-26 16:28:13","0","26","<machine-learning><svm><regularization>",""
"54558","2019-06-26 15:12:20","0","58","<math><machine-learning><statistics>",""
"54564","2019-06-26 18:40:26","0","52","<nlp><word-embeddings><missing-data><text><embeddings>",""
"54568","2019-06-26 19:08:57","0","18","<classification><similarity><databases><ranking>",""
"54570","2019-06-26 19:15:13","2","70","<algorithms><supervised-learning><search>",""
"54571","2019-06-26 19:18:32","0","30","<machine-learning><neural-network><dataset><data-cleaning><training>",""
"54574","2019-06-26 20:26:41","2","53","<scikit-learn><machine-learning-model><supervised-learning><data-science-model>",""
"54575","2019-06-26 20:46:30","0","27","<machine-learning><python><deep-learning><autoencoder><overfitting>",""
"54576","2019-06-26 21:43:18","2","84","<recommender-system><matrix-factorisation>",""
"54577","2019-06-26 21:59:42","0","1123","<pandas><dataframe>",""
"54580","2019-06-26 22:39:05","0","147","<tensorflow><labels>",""
"54590","2019-06-27 04:41:01","1","5161","<python><pandas>",""
"54593","2019-06-27 06:08:48","0","85","<python><nltk><named-entity-recognition>",""
"54594","2019-06-27 06:25:59","0","63","<python><scikit-learn><pandas><ranking>",""
"54595","2019-06-27 07:04:15","0","24","<neural-network><deep-learning><reinforcement-learning><deepmind>",""
"54597","2019-06-27 07:50:02","1","54","<python><pytorch>",""
"54601","2019-06-27 08:59:43","2","602","<machine-learning><deep-learning><image-classification>",""
"54602","2019-06-27 09:16:10","0","147","<python><data-mining><pca><dimensionality-reduction><variance>",""
"54612","2019-06-27 10:51:32","2","119","<xgboost><marketing>",""
"54616","2019-06-27 13:30:09","0","18","<python><neural-network><classification><word2vec>",""
"54617","2019-06-27 13:39:25","1","642","<machine-learning><python><pandas>","0"
"54618","2019-06-27 13:43:07","0","163","<neural-network><tensorflow><convolution><autoencoder>",""
"54619","2019-06-27 14:10:31","0","97","<nlp><sequence><transformer>",""
"54620","2019-06-27 14:12:36","0","1441","<pytorch><batch-normalization>",""
"54624","2019-06-27 14:48:21","0","26","<r><time-series><machine-learning-model><forecasting>",""
"54625","2019-06-27 14:59:24","0","20","<machine-learning><regression><logistic-regression><cross-validation><training>",""
"54626","2019-06-27 15:20:43","1","22","<neural-network><deep-learning><keras><cnn><gan>",""
"54628","2019-06-27 15:29:59","1","54","<machine-learning><classification><performance>",""
"54629","2019-06-27 15:42:55","1","59","<machine-learning><python><keras><training><plotting>",""
"54630","2019-06-27 15:44:03","1","47","<classification><time-series><lstm><survival-analysis>",""
"54631","2019-06-27 16:01:41","0","87","<regression><accuracy><error-handling>",""
"54633","2019-06-27 16:12:46","0","291","<dataset><statistics><visualization><k-means><normalization>",""
"54634","2019-06-27 17:21:49","0","10","<image>",""
"54635","2019-06-27 17:28:48","0","23","<machine-learning><data-mining><linear-regression><scraping>",""
"54636","2019-06-27 17:29:43","0","56","<python><keras><regression><cnn>",""
"54637","2019-06-27 18:29:10","0","57","<machine-learning><classification><logistic-regression><matlab>",""
"54640","2019-06-27 18:44:07","1","24","<r><graphs>","1"
"54642","2019-06-27 19:41:58","1","32","<classification><dataset>","1"
"54643","2019-06-27 20:16:02","0","63","<machine-learning><neural-network><machine-learning-model>",""
"54645","2019-06-27 21:29:20","0","17","<machine-learning><python><r><anomaly-detection><forecasting>",""
"54647","2019-06-27 22:46:18","0","10","<neural-network><image-classification><image-recognition>",""
"54650","2019-06-28 03:36:49","0","13","<machine-learning><time-series><statistics><forecast>",""
"54651","2019-06-28 03:54:22","0","57","<classification><data-mining><dataset>",""
"54652","2019-06-28 04:23:56","1","99","<gradient-descent><distributed><parallel><mathematics>",""
"54654","2019-06-28 05:44:00","0","46","<machine-learning><python><classification><scikit-learn>",""
"54656","2019-06-28 06:18:53","0","39","<machine-learning><python><scikit-learn>",""
"54657","2019-06-28 06:24:15","0","228","<neural-network><deep-learning><lstm><svm><svr>",""
"54663","2019-06-28 07:30:42","2","11","<scikit-learn><svm><feature-extraction><transfer-learning><inception>",""
"54664","2019-06-28 07:35:13","3","66","<deep-learning><pca><linear-algebra>","1"
"62698","2019-11-05 08:38:48","0","181","<keras><multilabel-classification><multitask-learning><multi-output>",""
"62699","2019-11-05 10:13:51","2","58","<python><neural-network><keras><prediction><autoencoder>",""
"62701","2019-11-05 11:28:45","1","21","<regression><normalization><lasso>","1"
"62706","2019-11-05 12:08:06","0","27","<nlp><multilabel-classification><dimensionality-reduction>",""
"62463","2019-10-31 11:17:36","0","2","<neural-network><reinforcement-learning><policy-gradients>",""
"62464","2019-10-31 11:22:52","0","5","<machine-learning><python><tensorflow><training><computer-vision>",""
"62465","2019-10-31 11:33:15","0","19","<unsupervised-learning><score>","1"
